,aa,ge,jnj,msft,axp,gm,jpm,pg,ba,hd,ko,sbc,c,hon,mcd,t,cat,hwp,mmm,utx,dd,ibm,mo,wmt,dis,intc,mrk,xom,ek,ip
aa,0.147,0.03,0.008,0.063,0.047,0.047,0.065,0.001,0.041,0.038,0.005,0.003,0.055,0.083,0.014,0.014,0.075,0.102,0.05,0.073,0.052,0.06,0.014,0.023,0.036,0.103,-0.01,0.017,0.074,0.091
ge,0.03,0.069,0.021,0.07,0.045,0.033,0.047,0.012,0.026,0.049,0.016,0.019,0.051,0.04,0.026,0.02,0.015,0.035,0.014,0.056,0.03,0.034,0.004,0.041,0.032,0.041,0.014,0.009,0.025,0.029
jnj,0.008,0.021,0.07,0.018,0.032,0.009,0.007,0.032,0.024,-0.001,0.041,0.021,0.031,0.01,0.027,-0.012,0.023,-0.018,0.016,0.026,0.013,0.006,0.019,0.026,0.006,0.006,0.048,0.01,0.011,0.018
msft,0.063,0.07,0.018,0.247,0.04,0.039,0.069,-0.016,0.017,0.061,0.012,0.018,0.057,0.031,0.018,0.066,0.01,0.084,0.003,0.058,0.03,0.087,0.001,0.049,0.037,0.15,0.006,0.009,0.045,0.038
axp,0.047,0.045,0.032,0.04,0.103,0.052,0.075,0.032,0.074,0.049,0.051,0.02,0.087,0.073,0.043,0.011,0.053,0.041,0.026,0.076,0.047,0.034,0.006,0.041,0.058,0.049,0.041,0.027,0.028,0.058
gm,0.047,0.033,0.009,0.039,0.052,0.129,0.076,0.012,0.045,0.037,0.007,-0.008,0.073,0.056,0.027,0.061,0.028,0.08,0.017,0.054,0.02,0.046,-0.007,0.015,0.069,0.088,0.009,0.008,0.035,0.021
jpm,0.065,0.047,0.007,0.069,0.075,0.076,0.16,0.019,0.032,0.059,0.036,-0.003,0.11,0.069,0.03,0.042,0.05,0.072,0.022,0.076,0.04,0.056,0.005,0.054,0.065,0.093,0.02,0.007,0.035,0.044
pg,0.001,0.012,0.032,-0.016,0.032,0.012,0.019,0.102,0.024,0.003,0.048,0.003,0.023,0.038,0.018,-0.017,0.006,0,0.013,0.012,0.021,-0.015,0.01,0.021,-0.008,-0.023,0.032,0.008,0.005,0.01
ba,0.041,0.026,0.024,0.017,0.074,0.045,0.032,0.024,0.136,0.017,0.039,0.017,0.056,0.067,0.031,-0.003,0.055,0.026,0.048,0.079,0.041,0.026,0.013,0.011,0.057,0.037,0.036,0.027,0.021,0.056
hd,0.038,0.049,-0.001,0.061,0.049,0.037,0.059,0.003,0.017,0.109,0.002,0.013,0.042,0.026,0.028,0.051,0.021,0.055,0.012,0.064,0.022,0.032,-0.018,0.062,0.031,0.022,-0.008,0.002,0.006,0.036
